;;Resultados 2017;;;;;diff;changes from 2013;Previsoes;;;;
;Municipios;BE;CDS.PP;PCP.PEV;PPD.PSD;PS;;none;BE;CDS.PP;PCP.PEV;PPD.PSD;PS
150;Vila Nova de Paiva;3;3;2;3;1;none;none;1;NA;-1;NA;-1
151;Viseu;4;3;5;1;2;PCP.PEV : { BE };none;1;NA;-1;NA;-1
152;Vouzela;5;3;4;1;2;none;none;1;NA;1;NA;-1
153;Castelo Branco;4;5;3;2;1;none;none;1;NA;NA;-1;-1
154;Idanha-a-Nova;3;3;2;3;1;none;none;1;NA;-1;NA;-1
155;Oleiros;3;3;2;1;3;none;none;NA;1;1;-1;NA
156;Penamacor;4;2;3;4;1;none;none;1;NA;-1;NA;-1
157;Proenca-a-Nova;4;4;3;2;1;none;none;1;NA;1;NA;-1
158;Vila Velha de Rodao;3;3;2;3;1;none;none;1;NA;-1;NA;-1
159;Abrantes;3;5;4;2;1;PCP.PEV : { BE };none;1;NA;-1;NA;-1
160;Alcanena;3;3;2;3;1;none;none;1;NA;-1;NA;-1
161;ConstíƒŒæncia;3;3;2;3;1;none;none;1;NA;NA;-1;-1
162;Entroncamento;3;4;5;2;1;none;none;1;NA;NA;-1;-1
163;Ferreira do Zezere;3;5;4;1;2;none;none;1;NA;1;-1;NA
164;Macao;5;3;4;1;2;none;none;1;NA;1;NA;-1
165;Ourem;3;3;2;3;1;none;none;1;NA;NA;-1;-1
166;Sardoal;4;4;3;1;2;none;none;1;NA;-1;NA;-1
167;Serta;5;3;4;1;2;none;none;1;NA;1;NA;-1
168;Tomar;4;5;3;2;1;none;none;1;NA;NA;-1;-1
169;Torres Novas;3;5;4;2;1;none;none;1;NA;NA;-1;-1
170;Vila de Rei;5;3;4;1;2;none;none;1;1;NA;NA;-1
171;Vila Nova da Barquinha;3;3;2;3;1;none;none;1;NA;1;NA;-1
172;Almeida;4;4;3;1;2;none;none;1;NA;-1;NA;-1
173;Belmonte;4;3;2;4;1;none;none;1;NA;-1;NA;-1
174;Celorico da Beira;4;4;3;1;2;none;none;1;NA;1;NA;-1
175;Covilha;4;2;3;5;1;none;none;1;NA;-1;NA;-1
176;Figueira de Castelo Rodrigo;5;3;4;2;1;none;none;NA;1;NA;1;-1
177;Fornos de Algodres;5;3;4;2;1;none;none;1;NA;-1;NA;-1
178;Fundao;5;4;3;1;2;none;none;1;NA;-1;NA;-1
179;Gouveia;5;3;4;1;2;none;none;1;NA;-1;NA;-1
180;Guarda;3;5;4;1;2;none;none;1;NA;NA;-1;-1
181;Manteigas;5;4;3;2;1;none;none;1;NA;-1;NA;-1
182;Muda;5;2;4;3;1;none;none;1;1;NA;NA;-1
183;Pinhel;4;4;3;1;2;none;none;1;NA;NA;NA;-1
