;;BE;CDS.PP;PCP.PEV;PPD.PSD;PS;changes;BE;CDS.PP;PCP.PEV;PPD.PSD;PS
155;Oleiros;3;3;2;1;3;none;NA;1;1;-1;NA
156;Penamacor;5;3;4;2;1;none;1;NA;-1;NA;-1
157;Proenca-a-Nova;4;4;3;2;1;none;1;NA;1;NA;-1
158;Vila Velha de Rodao;5;4;3;2;1;none;1;NA;-1;NA;-1
159;Abrantes;4;5;3;2;1;none;1;NA;-1;NA;-1
160;Alcanena;5;2;4;2;1;none;1;NA;-1;NA;-1
161;ConstÃ…Â ncia;5;3;1;4;2;none;1;NA;NA;-1;-1
162;Entroncamento;4;5;3;2;1;none;1;NA;NA;-1;-1
163;Ferreira do Zezere;5;3;4;1;2;none;1;NA;1;-1;NA
164;Macao;5;4;3;1;2;none;1;NA;1;NA;-1
165;Ourem;5;2;4;2;1;none;1;NA;NA;-1;-1
166;Sardoal;4;4;3;1;2;none;1;NA;-1;NA;-1
167;Serta;5;3;4;1;2;none;1;NA;1;NA;-1
168;Tomar;4;5;3;2;1;none;1;NA;NA;-1;-1
169;Torres Novas;4;5;3;2;1;none;1;NA;NA;-1;-1
170;Vila de Rei;5;3;4;1;2;none;1;1;NA;NA;-1
171;Vila Nova da Barquinha;5;4;3;2;1;none;1;NA;1;NA;-1
172;Almeida;5;1;4;1;3;none;1;NA;-1;NA;-1
173;Belmonte;4;3;2;4;1;none;1;NA;-1;NA;-1
174;Celorico da Beira;5;2;4;2;1;none;1;NA;1;NA;-1
175;Covilha;4;5;3;2;1;none;1;NA;-1;NA;-1
176;Figueira de Castelo Rodrigo;4;4;3;2;1;none;NA;1;NA;1;-1
177;Fornos de Algodres;5;3;4;2;1;none;1;NA;-1;NA;-1
178;Fundao;5;4;3;1;2;none;1;NA;-1;NA;-1
179;Gouveia;5;1;4;1;3;none;1;NA;-1;NA;-1
180;Guarda;5;1;4;1;3;none;1;NA;NA;-1;-1
181;Manteigas;4;4;3;1;2;none;1;NA;-1;NA;-1
182;Muda;5;2;4;3;1;none;1;1;NA;NA;-1
183;Pinhel;5;3;4;1;2;none;1;NA;NA;NA;-1
184;Sabugal;5;3;4;1;2;none;1;NA;-1;NA;-1
185;Seia;5;2;4;2;1;none;1;NA;1;NA;-1
186;Trancoso;5;3;4;2;1;none;1;NA;-1;NA;-1
187;Alcochete;5;3;1;4;2;PPD.PSD : { CDS.PP };1;1;-1;-1;NA
188;Almada;4;5;1;3;2;CDS.PP : { BE };1;-1;NA;NA;NA
189;Amadora;5;3;2;3;1;none;1;-1;NA;1;-1
190;Barreiro;4;5;1;3;2;none;1;1;-1;-1;NA
191;Cascais;5;1;4;1;3;none;1;NA;-1;NA;-1
192;Lisboa;5;2;4;2;1;none;1;NA;1;NA;-1
193;Loures;4;5;1;3;2;none;1;1;-1;NA;-1
194;Mafra;5;4;3;1;2;none;1;1;-1;-1;NA
195;Moita;3;5;1;4;2;PPD.PSD : { BE };1;NA;NA;-1;-1
196;Montijo;4;5;2;3;1;none;1;1;-1;-1;NA
197;Odivelas;4;5;2;3;1;none;1;1;-1;NA;-1
198;Oeiras;5;4;3;1;2;none;NA;1;-1;NA;-1
199;Palmela;5;3;1;3;2;PS : { PCP.PEV };1;NA;1;NA;-1
200;Seixal;4;5;1;3;2;CDS.PP : { BE };1;-1;NA;NA;NA
201;Sesimbra;5;3;1;3;2;none;1;1;-1;-1;NA
202;Setubal;5;3;1;3;2;none;1;NA;-1;NA;-1
203;Sintra;5;2;4;2;1;none;1;NA;NA;-1;-1
204;Vila Franca de Xira;4;5;2;3;1;none;1;NA;NA;-1;-1
205;AlcÃ‹Â†cer do Sal;4;5;1;3;2;none;1;NA;-1;NA;-1
206;Grandola;3;4;1;4;2;none;1;NA;-1;NA;-1
207;Odemira;5;3;2;3;1;none;NA;1;1;NA;-1
208;Santiago do Cacem;4;5;1;3;2;none;1;NA;-1;NA;-1
209;Sines;5;4;2;3;1;PPD.PSD : { PCP.PEV };1;NA;1;-1;-1
210;Aljustrel;5;3;2;3;1;none;1;NA;-1;NA;-1
211;Almodavar;4;5;3;2;1;none;1;NA;-1;NA;-1
212;Alvito;5;3;1;3;2;PS : { PCP.PEV };1;NA;1;NA;-1
213;Barrancos;3;3;1;3;2;none;1;NA;-1;NA;-1
214;Beja;5;3;1;3;2;none;1;NA;-1;NA;-1
215;Castro Verde;5;3;1;3;2;none;1;NA;-1;NA;-1
216;Cuba;5;3;1;3;2;none;1;NA;-1;NA;-1
217;Ferreira do Alentejo;5;3;2;3;1;none;1;NA;-1;NA;-1
218;Mertola;5;3;2;3;1;none;1;NA;-1;NA;-1
219;Moura;5;3;1;3;2;none;1;NA;-1;NA;-1
220;Ourique;5;2;4;2;1;none;1;NA;-1;NA;-1
221;Serpa;4;5;1;3;2;none;1;NA;-1;NA;-1
222;Vidigueira;5;3;1;3;2;none;1;NA;-1;NA;-1
223;Almeirim;5;2;2;2;1;none;1;NA;-1;NA;-1
224;AlpiarÃ‚Âça;4;4;1;3;2;none;1;NA;-1;NA;-1
225;Azambuja;5;3;2;3;1;none;1;NA;-1;NA;-1
226;Benavente;5;4;1;3;2;none;1;NA;NA;-1;-1
227;Cartaxo;4;5;3;2;1;none;1;NA;NA;-1;-1
228;Chamusca;5;3;2;3;1;none;1;NA;-1;NA;-1
229;Coruche;5;4;2;3;1;none;1;NA;-1;NA;-1
230;Golego;5;2;4;2;1;none;1;NA;-1;NA;-1
231;Rio Maior;5;1;4;1;3;none;1;NA;-1;NA;-1
232;Salvaterra de Magos;2;4;3;4;1;PCP.PEV : { BE };1;NA;-1;NA;-1
233;Santarem;4;5;3;1;2;none;1;NA;NA;-1;-1
234;Alter do ChÃ¢Â€Â o;5;4;3;1;2;none;1;NA;-1;NA;-1
235;Arronches;4;4;3;1;2;none;1;1;NA;NA;-1
236;Avis;4;4;1;3;2;none;1;NA;-1;NA;-1
237;Campo Maior;4;5;2;3;1;none;1;NA;-1;NA;-1
238;Castelo de Vide;4;4;3;1;2;none;1;NA;-1;NA;-1
239;Crato;4;4;2;3;1;none;1;NA;-1;NA;-1
240;Elvas;5;2;4;3;1;none;1;NA;-1;NA;-1
241;Fronteira;5;4;3;1;2;none;1;NA;-1;NA;-1
242;Gaviao;4;4;3;2;1;none;1;NA;-1;NA;-1
243;Marvao;5;4;3;1;2;none;1;NA;1;NA;-1
244;Monforte;5;3;1;3;2;none;1;NA;-1;NA;-1
245;Nisa;5;3;2;3;1;none;1;NA;-1;NA;-1
246;Ponte de Sor;4;5;2;3;1;none;1;NA;NA;-1;-1
247;Portalegre;5;3;2;3;1;none;1;NA;-1;NA;-1
248;Sousel;4;4;3;1;2;none;1;NA;-1;NA;-1
249;Alandroal;4;5;1;3;2;none;1;NA;-1;NA;-1
250;Arraiolos;5;4;1;3;2;none;1;NA;-1;NA;-1
251;Borba;4;4;3;2;1;none;1;NA;-1;NA;-1
252;Estremoz;5;4;2;3;1;none;1;1;NA;NA;-1
253;Evora;5;3;1;3;2;none;1;NA;NA;-1;-1
254;Montemor-o-Novo;5;4;1;3;2;none;1;NA;-1;NA;-1
255;Mora;5;3;1;3;2;none;1;NA;-1;NA;-1
