Concelho;Total;BE;CDS-PP;CDS-PP-MPT;CDS-PP-MPT-PPM;CDS-PP-PPD/PSD;Grupo de cid;MPT;PAN;PCP-PEV;PCTP/MRPP;PND;PNR;PPD/PSD;PPD/PSD-CDS-PP;PPD/PSD-CDS-PP-MPT;PPD/PSD-CDS-PP-MPT-PPM;PPD/PSD-CDS-PP-PPM;PPD/PSD-CDS-PP-PPM-MPT;PPD/PSD-MPT;PPD/PSD-MPT-PPM;PPD/PSD-PPM;PPD/PSD-PPM-MPT;PPM;PPM-PPV;PPM-PPV-PND;PPV;PS;PS-BE-PND-MPT-PTP-PAN;PS-PTP-PND-BE;PTP;Total;Protec da qualidade do ar e clima;Gest de aguas residuais;Gestao de residuos;Protecao e recuperacao dos solos, de aguas subterraneas e superficiais;Protecao contra o ruido e vibracoes;Protecao da biodiversidade e paisagem;Outros dominios;Habitao;Outros fins;Total Custos;Violncia domstica contra cnjuge ou analogos;Furto em veiculo motorizado;Furto em residencia;Furto em edificio comercial ou industrial
Santa Maria da Feira;64006.0;2792.0;2675.0;0.0;0.0;0.0;0.0;0.0;0.0;2955.0;0.0;0.0;0.0;31019.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24565.0;0.0;0.0;0.0;a>b>c>d>e;25.6;0.0;0.0;21.5;0.0;0.0;4.1;1234466.0;704404.0;530063.0;4341.0;241.0;340.0;386.0
Santo Tirso;37391.0;0.0;1409.0;0.0;0.0;0.0;2552.0;0.0;0.0;2455.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13051.0;0.0;0.0;0.0;0.0;0.0;17924.0;0.0;0.0;0.0;b>a>c>d>e;20.1;0.0;0.0;15.3;0.0;0.0;4.9;546945.0;371456.0;175489.0;1376.0;101.0;69.0;67.0
S•À_o Jo•À_o da Madeira;9462.0;225.0;296.0;0.0;0.0;0.0;1000.0;0.0;0.0;620.0;0.0;0.0;0.0;3808.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3513.0;0.0;0.0;0.0;b>a>c>d>e;48.0;0.0;0.0;43.0;0.3;0.0;4.6;492606.0;254471.0;238135.0;758.0;52.0;49.0;20.0
Trofa;21100.0;470.0;0.0;0.0;0.0;0.0;437.0;0.0;0.0;809.0;0.0;0.0;0.0;0.0;10092.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9292.0;0.0;0.0;0.0;a>b>c>d>e;151.8;0.0;0.0;143.0;0.0;0.5;7.6;454356.0;302613.0;151744.0;1041.0;53.0;104.0;79.0
Vale de Cambra;13080.0;0.0;6382.0;0.0;0.0;0.0;0.0;0.0;0.0;397.0;0.0;0.0;0.0;4683.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1618.0;0.0;0.0;0.0;b>a>c>d>e;40.2;0.0;0.0;35.3;0.0;0.0;4.9;183995.0;104169.0;79826.0;497.0;38.0;22.0;47.0
Valongo;37420.0;1797.0;1056.0;0.0;0.0;0.0;0.0;0.0;0.0;3426.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15132.0;0.0;0.0;0.0;0.0;0.0;16009.0;0.0;0.0;0.0;a>b>c>d>e;114.1;0.0;0.0;103.8;0.0;0.0;3.8;842540.0;621444.0;221096.0;2421.0;220.0;190.0;115.0
Vila do Conde;36466.0;983.0;1223.0;0.0;0.0;0.0;0.0;0.0;0.0;2009.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14042.0;0.0;0.0;0.0;0.0;0.0;18209.0;0.0;0.0;0.0;b>a>c>d>e;59.3;0.0;0.0;52.5;0.0;0.0;6.7;771310.0;540458.0;230852.0;2460.0;140.0;260.0;202.0
Vila Nova de Gaia;127158.0;4266.0;0.0;0.0;0.0;0.0;29797.0;0.0;0.0;8876.0;2087.0;0.0;0.0;0.0;27813.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53146.0;0.0;0.0;1173.0;a>b>c>d>e;26.3;0.0;0.0;9.4;0.0;0.3;15.8;2743064.0;1710572.0;1032493.0;9888.0;935.0;1215.0;678.0
Boticas;4051.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;392.0;0.0;0.0;0.0;2748.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;911.0;0.0;0.0;0.0;a>b>c>d>e;43.7;0.0;0.0;18.6;0.0;0.0;25.1;26838.0;18316.0;8522.0;204.0;0.0;0.0;5.0
Chaves;23163.0;0.0;780.0;0.0;0.0;0.0;3706.0;0.0;0.0;1547.0;0.0;0.0;0.0;9767.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7363.0;0.0;0.0;0.0;b>a>c>d>e;40.3;0.0;0.0;34.6;1.2;0.0;4.5;375152.0;240614.0;134538.0;1383.0;90.0;67.0;61.0
Montalegre;7918.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;132.0;0.0;0.0;0.0;0.0;2873.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4913.0;0.0;0.0;0.0;a>b>c>d>e;40.5;0.0;0.0;23.7;0.0;0.0;16.8;58511.0;39762.0;18748.0;485.0;18.0;11.0;13.0
Ribeira de Pena;5050.0;0.0;99.0;0.0;0.0;0.0;273.0;145.0;0.0;45.0;0.0;0.0;0.0;1866.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2622.0;0.0;0.0;0.0;b>a>c>d>e;33.7;0.0;0.0;33.7;0.0;0.0;0.0;35255.0;24023.0;11232.0;204.0;12.0;6.0;6.0
Valpa•À_os;11079.0;0.0;262.0;0.0;0.0;0.0;0.0;0.0;0.0;198.0;0.0;0.0;0.0;7295.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3324.0;0.0;0.0;0.0;b>a>c>d>e;83.1;0.0;0.0;83.1;0.0;0.0;0.0;99555.0;64854.0;34701.0;642.0;34.0;29.0;36.0
Vila Pouca de Aguiar;9222.0;0.0;102.0;0.0;0.0;0.0;0.0;0.0;0.0;330.0;0.0;0.0;0.0;4449.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4341.0;0.0;0.0;0.0;b>a>c>d>e;66.6;0.0;0.0;48.1;0.0;0.0;15.9;100479.0;76606.0;23873.0;510.0;26.0;8.0;20.0
Amarante;31543.0;575.0;0.0;0.0;0.0;0.0;5146.0;0.0;0.0;679.0;0.0;0.0;0.0;0.0;12824.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12319.0;0.0;0.0;0.0;a>b>c>d>e;23.9;0.0;0.0;21.0;0.0;0.0;2.8;383739.0;269785.0;113953.0;1432.0;121.0;35.0;111.0
Bai•À_o;11473.0;0.0;498.0;0.0;0.0;0.0;0.0;0.0;0.0;191.0;0.0;0.0;0.0;2211.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8573.0;0.0;0.0;0.0;b>a>c>d>e;47.0;0.0;0.0;39.1;0.0;0.0;7.8;89481.0;63588.0;25893.0;518.0;51.0;18.0;33.0
Castelo de Paiva;10932.0;72.0;94.0;0.0;0.0;0.0;0.0;0.0;0.0;106.0;0.0;0.0;0.0;4036.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6624.0;0.0;0.0;0.0;b>a>c>d>e;23.9;0.0;0.0;18.5;0.0;0.0;5.3;112424.0;90905.0;21519.0;409.0;29.0;15.0;11.0
Celorico de Basto;11720.0;0.0;740.0;0.0;0.0;0.0;0.0;0.0;0.0;434.0;0.0;0.0;0.0;7866.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2680.0;0.0;0.0;0.0;b>a>c>d>e;34.9;0.0;0.0;31.8;0.0;0.0;3.2;78138.0;60100.0;18038.0;395.0;28.0;6.0;9.0
Cinf•À_es;11781.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;289.0;0.0;0.0;0.0;0.0;4454.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7038.0;0.0;0.0;0.0;a>b>c>d>e;24.9;0.0;0.0;18.2;0.0;0.0;6.7;71726.0;52625.0;19101.0;414.0;25.0;11.0;29.0
